avgTemp,minTemp,naxTemp,rainFall,-1dayPrice,avgPrice
29.5,25.0,35.0,0.5,1520,1560
29.7,25.2,35.6,0.5,1520,1520
28.6,25.4,34.1,6.6,1520,1520
29.0,24.6,34.1,1.1,1520,1520
28.7,24.6,33.7,1.8,1580,1520
28.9,23.6,34.9,0.0,1720,1580
29.7,23.7,36.3,0.0,1760,1720
29.9,24.5,35.9,0.0,1720,1760
29.8,25.1,35.2,1.6,1860,1720
29.9,25.5,35.2,0.2,1860,1860
29.7,25.5,35.0,7.6,1860,1860
28.8,25.2,34.0,16.5,1880,1860
28.3,25.1,33.3,3.8,1840,1880
28.6,24.7,34.3,6.6,1820,1840
28.2,24.7,33.6,7.3,1780,1820
27.5,24.7,32.1,10.7,1880,1780
27.4,24.2,32.0,1.5,1880,1880
27.9,23.8,32.8,2.6,1880,1880
29.4,24.9,34.9,3.6,2000,1880
29.5,24.7,35.8,6.4,2000,2000
29.0,24.2,35.6,9.4,2000,2000
26.7,23.3,31.3,10.8,2020,2000
24.8,20.8,29.8,0.9,1980,2020
24.0,18.7,30.1,0.0,1980,1980
25.0,19.4,31.4,0.0,1980,1980
26.2,21.0,31.6,3.9,1980,1980
26.6,21.9,32.0,4.9,2020,1980
28.5,22.8,34.2,7.2,2220,2020
26.8,24.3,29.7,35.8,2520,2220
25.4,22.9,28.7,20.4,2560,2520
24.4,21.3,28.4,1.9,2560,2560
22.4,20.4,25.8,56.8,2560,2560
23.6,21.3,26.2,44.7,2940,2560
25.1,22.7,29.0,37.2,2920,2940
25.9,22.5,30.3,26.8,2740,2920
26.1,23.8,30.1,16.3,2740,2740
23.8,21.1,27.2,34.1,2960,2740
23.1,19.7,27.5,25.9,2960,2960
22.3,18.3,26.5,2.2,2960,2960
23.7,21.1,27.2,32.0,2980,2960
23.6,19.7,28.5,31.0,3160,2980
23.1,18.0,28.5,0.0,3240,3160
22.5,18.1,26.8,1.1,3240,3240
21.2,17.6,25.2,5.9,3240,3240
19.4,14.8,25.0,0.0,3240,3240
20.2,14.4,26.7,3.0,3240,3240
20.4,15.5,25.9,1.6,3220,3240
19.5,14.5,24.6,0.2,3160,3220
